TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023zyh,ZTF23abscwyb,,17.850492102559656,0.24,0.29,20.0029,19.7164,2023-12-13T09:14:18.997436,1.0,1.0,rising/peak,,SN,20.8,20.0029,19.7164,20.4315,19.7244,0.71,,60287.3,60291.4,147.8449116666667,58.04062556666667
2019aati,ZTF18abxthsc,,1610.8787582479415,0.33,0.29,20.4941,20.2019,2019-08-31T09:11:01.003211,9.0,5.0,,fading,SN,0.25,20.0551,19.6096,20.3018,19.4066,0.9,0.099292,58696.5,58726.4,32.69349286363636,-5.966436472727273
2018mgc,ZTF18acvgwfq,,1839.7739182482476,-0.08,0.3,20.1226,19.8267,2019-01-11T10:51:52.001289,2.0,,,fading,SN,2.68,19.6337,19.7094,20.6276,21.1237,-0.5,0.5,58464.5,58494.5,180.92503663333332,29.21228006666667
2023abln,ZTF23abtxvfp,,14.193778503220528,0.31,0.3,20.9667,20.6634,2023-12-15T04:57:27,1.0,1.0,rising/peak,,SN,0.32,20.8993,20.6634,20.8778,20.6118,0.27,0.0155,60290.2,60293.2,47.35601706666667,39.8546832
2023zms,ZTF23absjgsh,SN Ib,45.76980726188049,0.23,0.3,17.3461,17.049,2023-12-12T12:51:45.000015,2.0,2.0,,,SN,3.99,17.2196,17.049,19.6613,18.5537,1.11,0.5,60287.5,60290.5,197.72317740000005,8.7033061
2023tzx,ZTF23abhxbjo,SN Ia,84.11552394507453,0.06,0.3,19.395,19.0954,2023-10-21T04:33:41.002540,9.0,8.0,,fading,SN,1.8,18.6547,18.649,18.2547,17.4305,0.82,0.00558333,60221.3,60238.2,340.8763223,-14.810036970000002
2023zdu,ZTF23abtowkc,,2.196352331433445,0.44,0.3,19.6679,19.3683,2023-12-29T04:11:39.998405,2.0,2.0,,fading,SN,1.75,19.3737,19.3683,20.3359,20.2835,0.05,,60291.2,60307.2,30.407583475,-2.8161375500000005
2023xbn,ZTF23abnolrl,,60.85603906121105,0.3,0.3,19.4656,19.1622,2023-10-29T12:28:52.000305,2.0,2.0,rising/peak,,SN,1.73,19.4656,19.1622,21.3716,19.7702,1.6,0.5,60244.5,60246.5,139.35456465,15.20294265
2023zps,ZTF23abscvgg,SN II,38.922432240564376,0.44,0.31,20.0277,19.714,2023-12-17T06:08:41.000633,4.0,4.0,,fading,SN,1.65,19.8228,19.375,18.6318,18.4571,0.17,0.0683333,60288.3,60295.3,81.95571826,-5.36207126
2023wyf,ZTF23abjywac,,73.81058766134083,0.24,0.31,20.1196,19.8128,2023-10-22T11:51:14.999023,4.0,4.0,,fading,SN,0.24,19.7423,19.6162,20.3926,20.045,0.35,0.005,60231.5,60239.5,148.14669034,59.24363082
2021ahvo,ZTF17aadqidc,,1088.9813782479614,0.45,0.31,19.8152,19.5035,2021-01-18T09:59:21.001930,12.0,12.0,,,NT,0.18,19.8152,19.3972,18.2446,17.9045,0.34,0.00125,59218.4,59232.4,150.8074889166667,28.662370033333328
2023xap,ZTF23ablupxd,,49.95419876137749,0.32,0.31,20.307,19.9989,2023-11-13T11:03:20.998077,9.0,5.0,,fading,SN,3.0,19.6497,19.4362,-999.0,21.8943,-1020.89,0.004375,60235.4,60261.5,83.59901247777778,5.022760611111112
2020affa,ZTF20aclghmy,,1167.823908247985,0.11,0.31,20.3905,20.0757,2020-11-12T10:58:06.000953,26.0,9.0,,fading,NT,0.24,19.6649,19.6334,,,,,59137.5,59165.5,130.2982321107143,8.200848392857143
2023xvh,ZTF23abptxvc,,15.8174771880731,0.39,0.31,19.4984,19.1854,2023-12-13T12:09:55.995841,5.0,3.0,,,AGN,0.46,19.4553,19.0751,18.2857,17.4843,0.8,0.015625,60262.4,60291.5,162.62850087142854,20.163224985714287
2023wwn,ZTF23abjrqec,,65.81591166136786,0.26,0.31,20.066,19.76,2023-10-25T11:40:24.000946,12.0,12.0,,fading,SN,2.9,19.8162,19.6293,18.8254,18.145,0.68,0.0229167,60230.5,60242.5,137.51787670714285,31.63937505
2018mih,ZTF18abtmnha,,,-0.13,0.31,20.5783,20.2731,2018-09-21T08:36:49.003196,2.0,2.0,,fading,SN,0.73,19.8037,20.1043,20.7251,21.4538,-0.73,0.5,58366.4,58382.4,33.7529664,6.319289914285713
2023uvw,ZTF23abhzngp,,62.91830264823511,0.08,0.31,20.3007,19.9955,2023-10-27T11:14:34.002235,1.0,1.0,,fading,SN,5.72,19.2808,19.6667,19.0351,18.5888,0.45,0.05325,60225.4,60244.5,109.72818851000002,42.58133829
2023yzr,ZTF20aaqtqbn,,63.14469322748482,0.26,0.31,19.045,18.7381,2023-11-20T02:56:51.000022,10.0,4.0,rising/peak,,AGN,0.25,18.9607,18.7381,19.2118,18.6156,0.6,0.0393333,60239.1,60268.1,254.53479144,61.83388169
2023uwe,ZTF23abjyvco,,73.82274268660694,0.31,0.31,20.2539,19.9403,2023-10-16T12:19:57.002883,2.0,2.0,rising/peak,,SN,2.81,20.2539,19.9403,20.5924,20.0672,0.53,0.234685,60231.5,60233.5,155.0840639,40.98925145
2023xeb,ZTF23abpaycq,,43.90345456497744,0.27,0.31,18.9268,18.6137,2023-11-15T11:07:50.998062,9.0,9.0,rising/peak,,SN,1.56,18.7932,18.4223,17.5122,16.4703,1.04,0.169274,60253.4,60263.5,113.65847033125,0.8442672687499999
2023aavu,ZTF23abkbrlh,,75.07558113383129,0.12,0.31,20.721,20.4128,2023-10-15T06:07:20.000633,3.0,3.0,,fading,SN,0.27,20.2387,20.1513,22.337,21.9916,0.35,0.0521131,60221.2,60232.3,351.3443480416666,8.171662116666667
